p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	7.60342357427359	0.461	0.001	0	WT	ENSMUSG00000101939.Gm28438
0	1.59317890356027	0.379	0.147	0	WT	ENSMUSG00000073643.Wdfy1
0	0.617251731344809	0.742	0.568	0	WT	ENSMUSG00000073639.Rab18
0	2.73401990110649	0.154	0.021	0	WT	ENSMUSG00000024028.Tff2
0	0.524785929762095	0.862	0.768	0	WT	ENSMUSG00000021091.Serpina3n
0	0.585701051504243	0.921	0.833	0	WT	ENSMUSG00000024164.C3
0	0.404096934351559	0.948	0.921	0	WT	ENSMUSG00000026574.Dpt
0	0.374877377354937	0.974	0.96	0	WT	ENSMUSG00000026042.Col5a2
0	0.569075456774332	0.989	0.982	0	WT	ENSMUSG00000067274.Rplp0
0	0.45337651155328	0.984	0.977	0	WT	ENSMUSG00000020241.Col6a2
0	0.286780592276439	0.988	0.985	0	WT	ENSMUSG00000001119.Col6a1
0	0.256722616706559	0.994	0.991	0	WT	ENSMUSG00000057322.Rpl38
0	0.268274738242896	0.995	0.992	0	WT	ENSMUSG00000067288.Rps28
0	0.453921927698809	0.995	0.995	0	WT	ENSMUSG00000026043.Col3a1
0	0.3543746690573	0.994	0.994	0	WT	ENSMUSG00000029661.Col1a2
0	0.174096785170882	0.999	0.999	0	WT	ENSMUSG00000034892.Rps29
8.35190656742506e-294	0.932794769970323	0.523	0.36	2.56812775041753e-289	WT	ENSMUSG00000024810.Il33
4.99427847770902e-285	0.346924263663137	0.958	0.934	1.53569068911075e-280	WT	ENSMUSG00000026837.Col5a1
1.43995783678866e-281	0.76058783609564	0.67	0.558	4.42772635234144e-277	WT	ENSMUSG00000091345.Col6a5
1.23499526207369e-278	0.376300770226743	0.997	0.998	3.79748693135039e-274	WT	ENSMUSG00000018593.Sparc
1.17261741415345e-260	0.311569636939621	0.979	0.972	3.60568128678045e-256	WT	ENSMUSG00000048126.Col6a3
1.47880523805261e-259	0.233458184918823	0.992	0.991	4.54717822648798e-255	WT	ENSMUSG00000064363.mt-Nd4
1.02615621398158e-252	0.350144314447546	0.992	0.992	3.15532774237195e-248	WT	ENSMUSG00000001506.Col1a1
2.18997460512367e-251	0.672549764604117	0.6	0.473	6.73395291329477e-247	WT	ENSMUSG00000096768.Gm47283
8.81618448542073e-250	0.350525420635935	0.931	0.895	2.71088856742202e-245	WT	ENSMUSG00000037266.Rsrp1
8.07231933409443e-239	0.487423621872644	0.825	0.734	2.4821574720407e-234	WT	ENSMUSG00000028339.Col15a1
2.18103284391585e-237	0.152781635079624	0.999	0.999	6.70645789175684e-233	WT	ENSMUSG00000007892.Rplp1
6.38386197074137e-233	0.690817932309273	0.751	0.641	1.96297371738326e-228	WT	ENSMUSG00000026678.Rgs5
7.25520032428081e-228	0.547469519168267	0.748	0.644	2.23090154771311e-223	WT	ENSMUSG00000024713.Pcsk5
